"w-full src","text-lg","text-lg href","pt-2","text-black","w-full","contactItem","contactItem href","w-full 2","contactItem 2","contactItem href 2","text-white 2","text-white href","hover:bg-gray-400 href","text-base"
"https://www.brabys.com/resize/logos/m/5825723/joburg.jpg.jpg","JOBURG INDUSTRIAL TRADING SA (PTY) LTD","https://www.brabys.com/za/gauteng/sandton/linbro-park/solar-powered-products/joburg-industrial-trading-sa-pty-ltd","Linbro Park, Sandton, Gauteng","Solar Powered Products","Phone:","011 553 6900","tel:0115536900","Cell:","082 853 1054","tel:0828531054","Visit
                                        Website","http://www.kirloskar.co.za/","https://www.brabys.com/za/solar-installers-supplies#",""
"https://www.brabys.com/images/logo-placeholder.webp","CALTEC SOLAR AFRICA","https://www.brabys.com/za/kwazulu-natal/ladysmith/solar-installation/caltec-solar-africa","Ladysmith, Kwazulu-Natal","Solar Installation","Cell:","082 563 8827","tel:0825638827","Email:","delano@caltecsolar.africa","mailto:delano@caltecsolar.africa","More
                                        Information","https://www.brabys.com/za/kwazulu-natal/ladysmith/solar-installation/caltec-solar-africa","https://www.brabys.com/za/solar-installers-supplies#",""
"https://www.brabys.com/images/logo-placeholder.webp","POWERED UP BATTERIES (PTY) LTD","https://www.brabys.com/za/kwazulu-natal/pietermaritzburg/hilton/batteries-hilton/powered-up-batteries-pty-ltd","Hilton, Pietermaritzburg, Kwazulu-Natal","Batteries - Hilton","Phone:","033 880 0201","tel:0338800201","Email:","sales@poweredupbatteries.co.za","mailto:sales@poweredupbatteries.co.za","Visit
                                        Website","http://www.poweredupbatteries.co.za/","https://www.brabys.com/za/solar-installers-supplies#",""
"https://www.brabys.com/images/logo-placeholder.webp","SOLAFFICIENT SOLUTIONS (PTY) LTD","https://www.brabys.com/za/kwazulu-natal/durban/durban-north/solar-solutions/solafficient-solutions-pty-ltd","Durban North, Durban, Kwazulu-Natal","Solar Solutions","Cell:","063 687 3873","tel:0636873873","Email:","082 830 7189","tel:0828307189","Visit
                                        Website","http://www.solafficient.co.za/","https://www.brabys.com/za/solar-installers-supplies#",""
"https://www.brabys.com/images/logo-placeholder.webp","STARPLEX 222 (PTY) LTD","https://www.brabys.com/za/kwazulu-natal/howick/merrivale/electrical-contractors/starplex-222-pty-ltd","Merrivale, Howick, Kwazulu-Natal","Electrical Contractors","Phone:","033 330 3440","tel:0333303440","Email:","renier@starplex222.co.za","mailto:renier@starplex222.co.za","Visit
                                        Website","http://www.starplexsolar.co.za/","https://www.brabys.com/za/solar-installers-supplies#",""
"https://www.brabys.com/images/logo-placeholder.webp","4 U SOLAR","https://www.brabys.com/za/gauteng/germiston/lambton/solar-energy/4-u-solar","Lambton, Germiston, Gauteng","","Cell:","081 774 8605","tel:0817748605","Email:","info@4usolar.co.za","mailto:info@4usolar.co.za","Visit
                                        Website","http://www.4usolar.co.za/","https://www.brabys.com/za/solar-installers-supplies#","Update Your Business Info"
"https://www.brabys.com/images/logo-placeholder.webp","A C SCREENS & SHUTTERS (PTY) LTD","https://www.brabys.com/za/western-cape/goodwood/solar-screens/a-c-screens-shutters-pty-ltd","Goodwood, Western Cape","Solar Screens","Phone:","021 590 5090","tel:0215905090","Email:","info@acscreens.co.za","mailto:info@acscreens.co.za","Visit
                                        Website","http://www.acscreens.co.za/","https://www.brabys.com/za/solar-installers-supplies#","Update Your Business Info"
"https://www.brabys.com/images/logo-placeholder.webp","A M SOLAR","https://www.brabys.com/za/gauteng/johannesburg/northcliff/solar-products/a-m-solar","Northcliff, Johannesburg, Gauteng","Solar Products","Cell:","068 110 8120","tel:0681108120","Email:","info@amsolar.co.za","mailto:info@amsolar.co.za","Visit
                                        Website","http://www.amsolar.co.za/","https://www.brabys.com/za/solar-installers-supplies#","Update Your Business Info"
"https://www.brabys.com/images/logo-placeholder.webp","A S E SERVICES (PTY) LTD","https://www.brabys.com/za/gauteng/henley-on-klip/solar-electric-power-systems-equipment/a-s-e-services-pty-ltd","Henley-On-Klip, Gauteng","Solar Electric Power - Systems & Equipment","Cell:","071 868 1333","tel:0718681333","Email:","annabelle.solar@gmail.com","mailto:annabelle.solar@gmail.com","More
                                        Information","https://www.brabys.com/za/gauteng/henley-on-klip/solar-electric-power-systems-equipment/a-s-e-services-pty-ltd","https://www.brabys.com/za/solar-installers-supplies#","Update Your Business Info"
"https://www.brabys.com/images/logo-placeholder.webp","ACCESS 2 SOLAR","https://www.brabys.com/za/gauteng/boksburg/solar-water-heaters/access-2-solar","Boksburg, Gauteng","Solar  Heaters","Cell:","081 896 4011","tel:0818964011","Email:","samantha@access2solar.co.za","mailto:samantha@access2solar.co.za","More
                                        Information","https://www.brabys.com/za/gauteng/boksburg/solar-water-heaters/access-2-solar","https://www.brabys.com/za/solar-installers-supplies#","Update Your Business Info"
