name,phone,email,address,website,category,brabys_url
"Ideally Global","021 439 7665","antk@ideally-global.com","Green Point, Cape Town","http://www.ideally-global.com/","Food","https://www.brabys.com/za/western-cape/cape-town/green-point/food/ideally-global"
"Galito's","013 750 1981","","White River","http://www.galitos.com/","Fast Food","https://www.brabys.com/za/mpumalanga/white-river/fast-food-delivery-services/galitos"
"Ascot Inn","033 386 2226","info@ascot-inn.co.za","Scottsville, Pietermaritzburg","http://www.ascot-inn.co.za/","Accommodation","https://www.brabys.com/za/kwazulu-natal/pietermaritzburg/scottsville/accommodation/ascot-inn"
"Azure Restaurant and Bar","062 730 9326","","Hilton, Pietermaritzburg","","Nightclubs","https://www.brabys.com/za/kwazulu-natal/pietermaritzburg/hilton/nightclubs/azure-restaurant-and-bar"
"Canelands Beach Club & Spa","032 525 2300","","Salt Rock, Umhlali","http://www.thecanelands.co.za/","Beach Clubs","https://www.brabys.com/za/kwazulu-natal/umhlali/salt-rock/beach-clubs/canelands-beach-club-spa"
"Elevation Cafe","083 581 7282","tonyfotias@gmail.com","Ballito, Kwazulu-Natal","","Coffee Shops","https://www.brabys.com/za/kwazulu-natal/ballito/coffee-shops/elevation-cafe"
"Fernwood","036 468 1120","","Winterton, Kwazulu-Natal","http://www.fernwoodshareblock.co.za/","Lodge","https://www.brabys.com/za/kwazulu-natal/winterton/lodge-drakensberg/fernwood"
"Giba Gorge CC","031 769 1419","info@gibagorge.co.za","Westmead, Pinetown","http://www.gibagorge.co.za/","Adventure Park","https://www.brabys.com/za/kwazulu-natal/pinetown/westmead/adventure-park/giba-gorge-cc"
"Grindstone","082 532 3271","gartonrob26@gmail.com","Mooi River, Kwazulu-Natal","","Restaurants","https://www.brabys.com/za/kwazulu-natal/mooi-river/restaurants/grindstone"
"Jacks Grill Co","031 521 0269","","Berea, Durban","","Food Outlets","https://www.brabys.com/za/kwazulu-natal/durban/berea/food-outlets/jacks-grill-co"
